,Large Airport Name,Center_FIPS
0,Hartsfield - Jackson Atlanta International,13121
1,Seattle-Tacoma International,53033
2,Phoenix Sky Harbor International,4013
3,McCarran International,32003
4,Dallas-Fort Worth International,48113
5,George Bush Intercontinental/Houston,48201
6,Chicago Midway International,17031
7,San Francisco International,6081
8,San Diego International,6073
9,Los Angeles International,6037
10,Denver International,8031
11,Laguardia,36061
12,General Edward Lawrence Logan International,25025
13,Philadelphia International,42045
14,Baltimore/Washington International Thurgood Marshall,24003
15,Ronald Reagan Washington National,51013
16,Orlando International,12095
17,Fort Lauderdale/Hollywood International,12011
18,Tampa International,12057
19,Miami International,12086
20,Charlotte/Douglas International,37119
21,Daniel K Inouye International,15003
22,Salt Lake City International,49035
23,Portland International,41051
24,Chicago O'Hare International,17031
25,Detroit Metropolitan Wayne County,26163
26,Minneapolis-St Paul International/Wold-Chamberlain,27053
27,Washington Dulles International,51107
28,Newark Liberty International,34013
29,John F Kennedy International,36061